PRODUCT,MATERIEL,GAMME,REFERENCE,DESCRIPTION,CATALOGUE,IMAGES PRODUIT,IMAGES AMBIENCE,MAIN COLOR,FINITION,ESPACES 1,ESPACES 2,ESPACES 3,ESPACES 4,ESPACES 5,ESPACES 6,UTILISATIONS,UTILISATIONS 2,UTILISATIONS 3,UTILISATIONS 4,UTILISATIONS 5,FORMATS,OPTIONS,FICHE TECNIQUE,ORIGINE
BLANCO CRISTAL,GRANITE,GRANITE,,Very compact and homogeneous fine-grained light gray granite. The almost absence of black mica gives it a luminous appearance.,,BLANCO_CRISTAL_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
BLANCO RAFAELA,GRANITE,GRANITE,,,,,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
BLANCO PERLA,GRANITE,GRANITE,,Gräulicher homogener weißer Granit mit cremigen Tönen. Vielseitiges Material mittlerer Körnung.,,BLANCO_PERLA_PRODUCTO_WEB.jpg,,GRAU,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
BLANQUINO,GRANITE,GRANITE,,Grauer Granit mit mittelfeiner Körnung.,,,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
CREMA CAMELIA,GRANITE,GRANITE,,"Mittelkörniger Granit mit cremefarbenem Farbton. Homogenes und sauberes Material mit einem neutralen Farbton, der es mit mehreren Dekorationsstilen kombinierbar macht. Seine Homogenität ermöglicht es ihm, Projekte in Angriff zu nehmen irgendein Ende.",,CREMA_CAMELIA_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
EMERALD PEARL,GRANITE,GRANITE,,Homogener Granit mit dunkelblauen Kristallen kombiniert mit Schwarztönen im Hintergrund. Es ist beliebt für Arbeitsplatten und wird typischerweise für Innenböden verwendet.,,,,DUNKELBLAU,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
CREMA JULIA,GRANITE,GRANITE,,Sehr beliebter mittelkörniger hellrosa Granit mit schwarz-weißem Hintergrund. Anpassbar an jeden Stil.,,CREMA_JULIA_PRODUCTO_WEB.jpg,,CREME,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
GRIS MONDARIZ,GRANITE,GRANITE,,Mittelgrobkörniger grauer Granit mit rosafarbenen Details.,,GRIS_MONDARIZ_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
GRIS PARGA,GRANITE,GRANITE,,,,GRIS_PARGA_PULIDO_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
GRIS RODAS,GRANITE,GRANITE,,,,,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
GRIS PERLA,GRANITE,GRANITE,,,,GRIS_PERLA_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
GRISSAL,GRANITE,GRANITE,,,,,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
GRIS TRAGAL,GRANITE,GRANITE,,Grauer und weißer Granit mit kleinen schwarzen Körnern im Hintergrund. Dieser Stein ist ziemlich kompakt und homogen und wird normalerweise Projekten gewidmet.,,GRIS_TRAGAL_PULIDO_PRODUCTO_WEB.jpg,,GRAU,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
KISORO BLACK,GRANITE,GRANITE,,,,KISORO_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
LABRADOR CLARO,GRANITE,GRANITE,,"Granit in einem hellblauen Ton, zusammengesetzt aus silberfarbenen Labradoriten, die ihm viel Eleganz verleihen. Es wird sowohl bei Außen- als auch bei Innenprojekten verwendet, obwohl seine Hauptnachfrage für Badezimmer- und Küchenarbeitsplatten gilt.",,LABRADOR_CLARO_EXTRA_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
LIGHT GREY,GRANITE,GRANITE,,,,,,GRAU,"SHOT BLASTED,FLAMED,BULLNOSE,DOUBLE DRIP",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-50 mm,"PLATTES, STEPS, COPPING STONES, COBBLESTONNES",,
LIGHT YELLOW,GRANITE,GRANITE,,,,,,HELLGRAU,"SHOT BLASTED,BULLNOSE,DOUBLE DRIP",,,,,,,,,,,,Mehrere Formate // STÄRKE 30-200 mm,"PLATTES, STEPS, COPPING STONES, POSTS, COBBLESTONES",,
LABRADOR OSCURO,GRANITE,GRANITE,,"Granit, der dunkelblaue und silberne Töne kombiniert. Seine Originalität liegt in seinen Reflexionen, die je nach Lichteinfall variieren. Es ist ein sehr hartes Material, das für Küchenarbeitsplatten empfohlen wird.",,LABRADOR_OSCURO_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
MARRON BALTICO,GRANITE,GRANITE,,,,MARRON_BALTICO_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
MARRON COHIBA,GRANITE,GRANITE,,"Granit in Dunkelbraun (Schokolade) mit großer Körnung und kristallinen Reflexen, Typ Labradorit. Die am häufigsten nachgefragten Oberflächen sind seidenmatt und poliert. Empfohlen für den Innenbereich, insbesondere für Küchenarbeitsplatten.",,MARRON_COHIBA_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
NEGRO ROYAL BLACK,GRANITE,GRANITE,,,,,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
NEGRO ANGOLA,GRANITE,GRANITE,,"Granit mit kristallinem schwarzem Hintergrund, Typ Labradorit. Es wird sowohl für den Innen- als auch für den Außenbereich verwendet. Sehr gefragt in polierter Ausführung für Arbeitsplatten.",,ANGOLA_BLACK_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
NEGRO SUDAFRICA,GRANITE,GRANITE,,"Feinkörniger schwarzer Granit mit einheitlicher Zusammensetzung. Dieses Material ist für die Grabkunst sehr gefragt, insbesondere in polierter Ausführung, die am meisten nachgefragt wird.",,NEGRO_SUDAFRICA_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
NEGRO TEZAL,GRANITE,GRANITE,,"Nationaler Granit von dunkelgrau-schwarzer Farbe, mittlerer Körnung und ziemlich gleichmäßig. Es wird sowohl im Innen- als auch im Außenbereich eingesetzt und lässt alle Oberflächen zu. Sehr gefragt für Grabkunst.",,TEZAL_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
NEGRO ZIMBABWE,GRANITE,GRANITE,,"Unter den schwarzen Graniten ist der Black Zimbabwe ohne Zweifel der gefragteste. Es ist ein feinkörniges Material mit einer intensiven schwarzen Farbe. Aufgrund seiner Härte hat es viele Anwendungen: Arbeitsplatten, Fassaden, Fußböden und Grabkunst. Die gebräuchlichsten Ausführungen sind: poliert, seidenmatt und rustikal.",,NEGRO_ZIMBABWE_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
PEDRAS SALGADAS,GRANITE,GRANITE,,"Grauer und weißer Granit, mittlere Körnung. Sein leuchtender und gleichmäßiger Hintergrund macht es zu einem idealen Material für Arbeitsplatten. Es ist ein Klassiker für Arbeiten, der in verschiedenen Ausführungen hergestellt wird: poliert, geschliffen, gesägt und geflammt.",,PEDRAS_SALGADAS_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
ROSA PORRIÑO,GRANITE,GRANITE,,Rosa kompakter Granit mit mittlerer bis grober Körnung. Weit verbreitet als Küchenarbeitsplatte dank seiner großen Festigkeit und Haltbarkeit.,,ROSA_PORRIÑO_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
ROSAVEL RESINADO,GRANITE,GRANITE,,Grobkörniger kompakter rosafarbener Granit mit Megakristallen.,,ROSAVEL_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
SILVER BLUE ,GRANITE,GRANITE,,,,,,,"FLAMED,BULLNOSE,DOUBLE DRIP",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-40 mm,"PLATTES, STEPS, COPPING STONES",,
SILVESTRE GRANALLADO,GRANITE,GRANITE,,"Klassischer Granit, der in einigen Gegenden wie Galicien zum Verkaufsschlager geworden ist, wo er ein regelmäßiger Protagonist im architektonischen Umfeld ist. Es ist ein feinkörniges Material, das reich an Quarz ist und vielfältige Anwendungen sowohl für den Außen- als auch für den Innenbereich akzeptiert. Es lässt ebenfalls verschiedene Oberflächen zu, obwohl die gefragtesten geschliffen, poliert und kugelgestrahlt sind. Der Farbton reicht von grau (Silvesre Light), mittel (Creme-Ton) und Tan (Tan-Ton).",,SILVESTRE_GRANALLADO_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
VERDE BAHIA/UBATUBA,GRANITE,GRANITE,,"Dunkelgrüner Granit mit einem hohen Gehalt an Eisen- und Magnesiumoxiden, die in goldenen Flecken über die gesamte Oberfläche zutage treten.",,VERDE_UBATUBA_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
VERDE OLIVA ,GRANITE,GRANITE,,"Dieser dunkelgrüne Granit mit blumigen schwarzen Adern ist ein Klassiker unter den importierten Materialien. Es ist ideal für Arbeitsplatten, obwohl es aufgrund seiner Eigenschaften an jedes Projekt anpassbar ist.",,VERDE_OLIVA_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
VERDE SAN FRANCISCO,GRANITE,GRANITE,,"Granit in Grüntönen mit Adern, kombinierbar mit praktisch jedem Einrichtungsstil. Es wird in verschiedenen Ausführungen vermarktet, aber die am häufigsten nachgefragte ist poliert. Es wird vor allem in Grabkunst und Küchenarbeitsplatten verwendet.",,VERDE_SAN_FRANCISCO_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
INFERCOA,SCHIEFER,INFERCOA,2000052453,"Dank seines schwarzen Farbtons, seiner Rauheit und dem natürlichen Aussehen passt sich dieser Stein an jede Umgebung an, ob bei traditioneller oder zeitgemäßer Gestaltung. Die Möglichkeiten gespaltener oder gesägter Außenkanten verleihen jedem Raum eine originelle Note.",,"INFERCOA_BARETTE_PRODUCTO_WEB.jpg,INFERCOA_PALIS2FS_PRODUCTO_WEB.jpg,INFERCOA_PALIS4FS_PRODUCTO_WEB.jpg,INFERCOA_PAS_PRODUCTO_WEB.jpg,INFERCOA_PIQUET_PRODUCTO_WEB.jpg,INFERCOA_TEXTURA_WEB.jpg",INFERCOA_AMBIENTE_WEB.jpg,SCHWARZ,"GESÄGT,NATÜRLICH,WEITERE",,,,,,,,,,,,Mehrere Formate // VERSCHIEDENEN STÄRKEN,"SCHIEFERPLATTE, POSTEN, BLOCKSTUFE",,
STONEPANEL BLUE DIAMOND,,STONEPANEL,2000054823,"Natural panel on grey and blue tones, that fits perfectly for outdoors façades and walls, giving a stunning look to antique and modern projects.",,,,GRAU,NATÜRLICH,ALLES,,,,,,FASSADE,INNENWAND,KAMIN,,,Standard 60x20 // STÄRKE 4 cm,"Lange, kurze und gebäud ecken",,
